source_image_name,source_image_path,crop_image_name,crop_image_path,category,source_category,box_x,box_y,box_width,box_height,confidence,processing_status,skip_reason,timestamp
1_-_61c44a7c-8bf3-4577-adeb-cbf2cd0b7af7.webp,/data/input/birds/1_-_61c44a7c-8bf3-4577-adeb-cbf2cd0b7af7.webp,1_-_61c44a7c-8bf3-4577-adeb-cbf2cd0b7af7_crop_0.jpg,/data/output/birds/1_-_61c44a7c-8bf3-4577-adeb-cbf2cd0b7af7_crop_0.jpg,birds,birds,236.05947955390334,382.4165636588381,306.69144981412643,375.0,1.0,processed,,2025-08-08T23:43:05.281198
1_-_61c44a7c-8bf3-4577-adeb-cbf2cd0b7af7.webp,/data/input/birds/1_-_61c44a7c-8bf3-4577-adeb-cbf2cd0b7af7.webp,1_-_61c44a7c-8bf3-4577-adeb-cbf2cd0b7af7_crop_1.jpg,/data/output/flower/1_-_61c44a7c-8bf3-4577-adeb-cbf2cd0b7af7_crop_1.jpg,flower,birds,645.585501858736,371.27626699629167,359.94423791821555,644.3448702101358,1.0,processed,,2025-08-08T23:43:05.290696
WC202209_LAST_006_430968_reduced.jpg,/data/input/birds/WC202209_LAST_006_430968_reduced.jpg,WC202209_LAST_006_430968_reduced_crop_0.jpg,/data/output/birds/WC202209_LAST_006_430968_reduced_crop_0.jpg,birds,birds,384.0,216.0,384.0,216.0,1.0,processed,,2025-08-08T23:43:06.077156
Zebra-finch-Taeniopygia-guttata-bird.webp,/data/input/birds/Zebra-finch-Taeniopygia-guttata-bird.webp,Zebra-finch-Taeniopygia-guttata-bird_crop_0.jpg,/data/output/birds/Zebra-finch-Taeniopygia-guttata-bird_crop_0.jpg,birds,birds,800.0,529.0,800.0,529.0,1.0,processed,,2025-08-08T23:43:06.489200
mybird_sun_conure_on_perch.jpg,/data/input/birds/mybird_sun_conure_on_perch.jpg,mybird_sun_conure_on_perch_crop_0.jpg,/data/output/birds/mybird_sun_conure_on_perch_crop_0.jpg,birds,birds,960.0,694.0,960.0,694.0,1.0,processed,,2025-08-08T23:43:06.875198
Molly_006-2829x1886-2726x1886-1920x1328.jpg,/data/input/cats/Molly_006-2829x1886-2726x1886-1920x1328.jpg,Molly_006-2829x1886-2726x1886-1920x1328_crop_0.jpg,/data/output/cats/Molly_006-2829x1886-2726x1886-1920x1328_crop_0.jpg,cats,cats,960.0,664.0,960.0,664.0,1.0,processed,,2025-08-08T23:43:07.610171
cat2-1024x676.jpg,/data/input/cats/cat2-1024x676.jpg,cat2-1024x676_crop_0.jpg,/data/output/cats/cat2-1024x676_crop_0.jpg,cats,cats,512.0,338.0,512.0,338.0,1.0,processed,,2025-08-08T23:43:08.216058
GettyImages-598175960-cute-dog-headshot.jpg,/data/input/dogs/GettyImages-598175960-cute-dog-headshot.jpg,GettyImages-598175960-cute-dog-headshot_crop_0.jpg,/data/output/dogs/GettyImages-598175960-cute-dog-headshot_crop_0.jpg,dogs,dogs,1060.5,596.5,1060.5,596.5,1.0,processed,,2025-08-08T23:43:08.898733
french-bulldog-running.jpg,/data/input/dogs/french-bulldog-running.jpg,french-bulldog-running_crop_0.jpg,/data/output/dogs/french-bulldog-running_crop_0.jpg,dogs,dogs,1920.0,1440.0,1920.0,1440.0,1.0,processed,,2025-08-08T23:43:09.883382
images.jpg,/data/input/dogs/images.jpg,,,,dogs,0,0,0,0,0,skipped,no_objects,2025-08-08T23:43:11.100179
